Word_ID	Dialog ID	pword_id
5469	12	5534
5469	15	5534
5469	17	5534
5469	28	5534
5469	30	5534
5469	32	5534
5469	35	5534
5470	29	5535
5471	36	5536
5472	10	5537
5472	33	5537
5473	10	5538
5474	9	5542
5474	17	5542
5474	22	5542
5474	33	5542
5474	34	5542
5475	15	5543
5476	15	5544
5476	19	5544
5477	30	5545
5477	33	5545
5478	22	5546
5478	32	5546
5478	33	5546
5479	34	5547
5480	34	5548
5481	6	5549
5481	17	5549
5481	26	5549
5481	36	5549
5482	15	5550
5482	30	5550
5483	36	5551
5484	6	5552
5484	28	5552
5484	30	5552
5484	32	5552
5484	36	5552
5485	32	5554
5485	36	5554
5486	32	5553
5486	36	5553
5487	4	5555
5487	6	5555
5487	7	5555
5487	9	5555
5487	11	5555
5487	15	5555
5487	16	5555
5487	17	5555
5487	19	5555
5487	20	5555
5487	23	5555
5487	25	5555
5487	26	5555
5487	27	5555
5487	28	5555
5487	29	5555
5487	30	5555
5487	32	5555
5487	33	5555
5487	34	5555
5487	36	5555
5488	33	5556
5488	36	5556
5489	7	5557
5489	15	5557
5489	17	5557
5489	19	5557
5489	20	5557
5489	25	5557
5489	28	5557
5489	30	5557
5489	36	5557
5490	26	5558
5490	30	5558
5491	26	5559
5491	27	5559
5491	30	5559
5491	32	5559
5491	34	5559
5491	36	5559
5492	31	5560
5493	30	5561
5493	31	5561
5494	21	5562
5494	26	5562
5494	33	5562
5495	17	5563
5495	26	5563
5495	30	5563
5495	36	5563
5496	17	5564
5496	26	5564
5497	6	5565
5498	10	5566
5499	3	5567
5499	4	5567
5499	6	5567
5499	10	5567
5499	11	5567
5499	12	5567
5499	13	5567
5499	17	5567
5499	20	5567
5499	21	5567
5499	26	5567
5499	27	5567
5499	30	5567
5499	32	5567
5499	34	5567
5500	11	5568
5500	17	5568
5500	30	5568
5500	32	5568
5501	16	5569
5501	17	5569
5501	29	5569
5501	30	5569
5502	10	5570
5502	16	5570
5502	30	5570
5503	11	5571
5504	10	5572
5505	34	5573
5506	26	5574
5506	30	5574
5507	11	5575
5507	17	5575
5507	30	5575
5507	32	5575
5508	33	5576
5509	22	5577
5510	20	5578
5510	30	5578
5511	32	5579
5512	32	5580
5513	2	5581
5513	7	5581
5513	12	5581
5513	17	5581
5513	19	5581
5513	30	5581
5514	34	5582
5515	8	5583
5515	17	5583
5515	30	5583
5515	34	5583
5516	1	5584
5516	6	5584
5516	7	5584
5516	8	5584
5516	9	5584
5516	17	5584
5516	19	5584
5516	23	5584
5516	25	5584
5516	27	5584
5516	28	5584
5516	30	5584
5516	31	5584
5516	33	5584
5516	34	5584
5516	36	5584
5517	12	5585
5517	30	5585
5518	17	5586
5518	23	5586
5518	25	5586
5519	1	5588
5519	6	5588
5519	12	5588
5519	17	5588
5519	19	5588
5519	22	5588
5519	27	5588
5519	28	5588
5519	30	5588
5520	1	5588
5520	6	5588
5520	12	5588
5520	17	5588
5520	19	5588
5520	22	5588
5520	27	5588
5520	28	5588
5520	30	5588
5521	12	5589
5521	30	5589
5522	17	5590
5522	31	5590
5522	36	5590
5523	31	5591
5523	36	5591
5524	12	5592
5525	36	5593
5526	17	5594
5526	36	5594
5527	27	5595
5528	10	5597
5528	17	5597
5528	20	5597
5528	30	5597
5528	34	5597
5529	3	5598
5529	4	5598
5529	6	5598
5529	10	5598
5529	11	5598
5529	12	5598
5529	13	5598
5529	17	5598
5529	18	5598
5529	20	5598
5529	21	5598
5529	26	5598
5529	27	5598
5529	29	5598
5529	30	5598
5529	31	5598
5529	32	5598
5529	34	5598
5530	10	5599
5531	29	5600
5532	26	5601
5532	30	5601
5533	17	5602
5533	36	5602
5534	6	5603
5535	4	5605
5535	17	5605
5535	31	5605
5536	4	5604
5536	17	5604
5536	31	5604
5537	7	5606
5538	7	5607
5539	1	5608
5539	2	5608
5539	3	5608
5539	4	5608
5539	6	5608
5539	10	5608
5539	11	5608
5539	12	5608
5539	13	5608
5539	16	5608
5539	17	5608
5539	19	5608
5539	21	5608
5539	22	5608
5539	23	5608
5539	25	5608
5539	26	5608
5539	27	5608
5539	28	5608
5539	29	5608
5539	30	5608
5539	31	5608
5539	32	5608
5539	33	5608
5539	34	5608
5540	33	5609
5541	7	5610
5541	17	5610
5541	24	5610
5541	30	5610
5542	30	5611
5542	34	5611
5543	17	5612
5543	25	5612
5543	27	5612
5543	30	5612
5543	33	5612
5544	3	5613
5544	17	5613
5544	28	5613
5544	30	5613
5544	33	5613
5544	34	5613
5545	1	5614
5545	3	5614
5545	26	5614
5545	30	5614
5545	33	5614
5546	17	5615
5546	27	5615
5546	30	5615
5546	33	5615
5547	21	5616
5548	29	5617
5549	29	5618
5550	12	5619
5550	17	5619
5550	27	5619
5550	30	5619
5550	34	5619
5550	36	5619
5551	1	5620
5552	6	5621
5553	17	5622
5553	27	5622
5553	30	5622
5554	10	5623
5555	7	5624
5555	9	5624
5555	11	5624
5555	12	5624
5555	17	5624
5555	26	5624
5555	27	5624
5555	28	5624
5555	30	5624
5555	31	5624
5555	32	5624
5555	33	5624
5555	34	5624
5555	36	5624
5556	18	5625
5557	17	5626
5557	21	5626
5557	29	5626
5557	30	5626
5557	33	5626
5557	36	5626
5558	25	5627
5559	1	5628
5559	2	5628
5559	6	5628
5559	13	5628
5559	15	5628
5559	16	5628
5559	17	5628
5559	19	5628
5559	22	5628
5559	24	5628
5559	29	5628
5559	30	5628
5559	33	5628
5559	34	5628
5560	9	5629
5560	24	5629
5561	1	5630
5561	8	5630
5561	13	5630
5561	16	5630
5561	17	5630
5561	19	5630
5561	24	5630
5561	29	5630
5561	30	5630
5561	33	5630
5561	34	5630
5562	12	5631
5562	30	5631
5563	13	5632
5563	23	5632
5563	27	5632
5564	29	5633
5565	6	5634
5565	17	5634
5565	19	5634
5565	29	5634
5565	30	5634
5566	10	5635
5567	12	5636
5568	16	5637
5569	1	5638
5569	2	5638
5569	3	5638
5569	4	5638
5569	5	5638
5569	6	5638
5569	7	5638
5569	8	5638
5569	9	5638
5569	10	5638
5569	11	5638
5569	12	5638
5569	13	5638
5569	14	5638
5569	15	5638
5569	16	5638
5569	17	5638
5569	18	5638
5569	19	5638
5569	20	5638
5569	21	5638
5569	22	5638
5569	23	5638
5569	25	5638
5569	26	5638
5569	27	5638
5569	28	5638
5569	29	5638
5569	30	5638
5569	31	5638
5569	32	5638
5569	33	5638
5569	34	5638
5569	35	5638
5569	36	5638
5570	1	5639
5571	1	5640
5571	2	5640
5571	18	5640
5571	19	5640
5571	26	5640
5571	27	5640
5571	28	5640
5571	30	5640
5571	31	5640
5571	33	5640
5571	34	5640
5571	36	5640
5572	12	5641
5573	22	5642
5574	19	5643
5574	27	5643
5575	1	5645
5575	2	5645
5575	3	5645
5575	4	5645
5575	6	5645
5575	8	5645
5575	9	5645
5575	10	5645
5575	12	5645
5575	13	5645
5575	15	5645
5575	16	5645
5575	17	5645
5575	18	5645
5575	19	5645
5575	21	5645
5575	22	5645
5575	23	5645
5575	24	5645
5575	25	5645
5575	26	5645
5575	27	5645
5575	28	5645
5575	29	5645
5575	30	5645
5575	31	5645
5575	32	5645
5575	33	5645
5575	34	5645
5575	35	5645
5575	36	5645
5576	2	5646
5576	6	5646
5576	15	5646
5576	17	5646
5576	24	5646
5576	30	5646
5577	8	5647
5577	13	5647
5577	17	5647
5577	23	5647
5577	26	5647
5577	32	5647
5577	34	5647
5577	36	5647
5578	23	5648
5579	23	5649
5580	6	5650
5580	34	5650
5581	6	5651
5581	27	5651
5581	34	5651
5581	36	5651
5582	3	5652
5582	27	5652
5583	36	5654
5584	32	5655
5584	33	5655
5584	36	5655
5585	1	5656
5585	2	5656
5585	3	5656
5585	4	5656
5585	5	5656
5585	6	5656
5585	7	5656
5585	8	5656
5585	9	5656
5585	10	5656
5585	11	5656
5585	12	5656
5585	13	5656
5585	14	5656
5585	15	5656
5585	16	5656
5585	17	5656
5585	18	5656
5585	19	5656
5585	20	5656
5585	21	5656
5585	22	5656
5585	23	5656
5585	24	5656
5585	25	5656
5585	26	5656
5585	27	5656
5585	28	5656
